measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Colombia,Male,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,2019,6.115372883316485,18.367246031306344,0.9443099119330949
YLLs (Years of Life Lost),Colombia,Female,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,2019,3.207378851794651,10.25527374919681,0.5200249251492967
YLLs (Years of Life Lost),Colombia,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,2019,4.628608281437162,14.079691895057888,0.7291151414915226
YLLs (Years of Life Lost),Colombia,Male,All Ages,Extensively drug-resistant tuberculosis,Rate,2019,1.0076891567201318,3.1644430819315224,0.1401925580359039
YLLs (Years of Life Lost),Colombia,Female,All Ages,Extensively drug-resistant tuberculosis,Rate,2019,0.529315087825141,1.6839655147362018,0.07617474265378191
YLLs (Years of Life Lost),Colombia,Both,All Ages,Extensively drug-resistant tuberculosis,Rate,2019,0.763111752371799,2.3603573774427224,0.10965473782494946
YLLs (Years of Life Lost),Colombia,Male,All Ages,HIV/AIDS - Drug-susceptible Tuberculosis,Rate,2019,25.123081168220622,39.412698626306025,14.780694327080022
YLLs (Years of Life Lost),Colombia,Female,All Ages,HIV/AIDS - Drug-susceptible Tuberculosis,Rate,2019,8.316030729402069,13.03554315122983,4.885273186133708
YLLs (Years of Life Lost),Colombia,Both,All Ages,HIV/AIDS - Drug-susceptible Tuberculosis,Rate,2019,16.53017231642397,25.93842882503454,9.721481098451756
YLLs (Years of Life Lost),Colombia,Male,All Ages,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Rate,2019,2.8097145419078005,8.498544387191771,0.41365309338344447
YLLs (Years of Life Lost),Colombia,Female,All Ages,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Rate,2019,0.9467753899543276,2.8588629244821595,0.14119743092663878
YLLs (Years of Life Lost),Colombia,Both,All Ages,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Rate,2019,1.8572531693753322,5.613893396821308,0.274327708686132
YLLs (Years of Life Lost),Colombia,Male,All Ages,HIV/AIDS - Extensively drug-resistant Tuberculosis,Rate,2019,0.46381700046998187,1.4143678619524869,0.06428534710508228
YLLs (Years of Life Lost),Colombia,Female,All Ages,HIV/AIDS - Extensively drug-resistant Tuberculosis,Rate,2019,0.1562934344451262,0.4779784596590812,0.021870204483584475
YLLs (Years of Life Lost),Colombia,Both,All Ages,HIV/AIDS - Extensively drug-resistant Tuberculosis,Rate,2019,0.30659000919923945,0.9360450097445494,0.04259983745487703
YLLs (Years of Life Lost),Colombia,Male,All Ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,2019,0.5981079645759417,2.319882586339608,0.2739791903192427
YLLs (Years of Life Lost),Colombia,Female,All Ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,2019,0.4743318185666734,1.5543933290307452,0.24821904341896575
YLLs (Years of Life Lost),Colombia,Both,All Ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,2019,0.5348251687899679,1.6683950953368625,0.2853861514312927
YLLs (Years of Life Lost),Colombia,Male,All Ages,"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",Rate,2019,24.432626792749975,37.16738515109832,13.701442335474804
YLLs (Years of Life Lost),Colombia,Female,All Ages,"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",Rate,2019,19.348962794850816,25.968572590842516,14.024108421998246
YLLs (Years of Life Lost),Colombia,Both,All Ages,"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",Rate,2019,21.83351152703901,29.81859625944667,14.96588410026729
YLLs (Years of Life Lost),Colombia,Male,All Ages,Physical violence by firearm,Rate,2019,2883.1296558517843,3698.5568534708536,2265.7068318877295
YLLs (Years of Life Lost),Colombia,Female,All Ages,Physical violence by firearm,Rate,2019,169.6764217517981,256.3116462924993,121.26957183255561
YLLs (Years of Life Lost),Colombia,Both,All Ages,Physical violence by firearm,Rate,2019,1495.8275590852381,1919.5243710605307,1175.8072591315101
YLLs (Years of Life Lost),Colombia,Male,All Ages,Physical violence by sharp object,Rate,2019,666.1270997955331,883.4764388146274,482.2877632386747
YLLs (Years of Life Lost),Colombia,Female,All Ages,Physical violence by sharp object,Rate,2019,58.22912944819266,87.11423200476291,40.93364051536408
YLLs (Years of Life Lost),Colombia,Both,All Ages,Physical violence by sharp object,Rate,2019,355.3282556198701,468.90231601082786,257.6431152408446
YLLs (Years of Life Lost),Colombia,Male,All Ages,Physical violence by other means,Rate,2019,244.16719441671466,324.5015596447555,177.8884378241355
YLLs (Years of Life Lost),Colombia,Female,All Ages,Physical violence by other means,Rate,2019,51.306989792174726,79.84911218718212,37.51737490598024
